link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
396-PIC16;396;PIC 16;HAUTS-DE-FRANCE;Ble;HDF;1.79;295;105.3;66.3;125;34.05;217.1;137;182;8.2;10.53;43;19.68;OUI;#N/A;62;#N/A;0.062;#N/A
373-PIC10;373;PIC 10;HAUTS-DE-FRANCE;Ble;HDF;1.17;475;91.8;Non mesure;119;16.83;6.3;218;174;7.8;9.18;6;9.73;OUI;#N/A;169;#N/A;0.169;#N/A
288-PIC11;288;PIC 11;HAUTS-DE-FRANCE;Ble;HDF;1.54;427;118.0;22.5;210;22.23;53.2;202;98;8.2;11.80;10;12.85;OUI;#N/A;93;#N/A;0.093;#N/A
287-PIC04;287;PIC 04;HAUTS-DE-FRANCE;Ble;HDF;1.67;188;111.0;167.5;188;23.94;425.3;98;64;8.3;11.10;36;13.84;OUI;#N/A;86;#N/A;0.086;250.0
559-PIC34;559;PIC 34;HAUTS-DE-FRANCE;Ble;HDF;1.09;453;119.7;Non mesure;211;15.52;4.2;265;60;7.5;11.97;7;8.97;OUI;#N/A;80;#N/A;0.080;#N/A
374-PIC22;374;PIC 22;HAUTS-DE-FRANCE;Mais;HDF;0.84;226;62.5;Non mesure;77;11.47;4.2;93;474;7.8;6.25;125;6.63;OUI;#N/A;151;#N/A;0.151;#N/A
290-PIC01;290;PIC 01;HAUTS-DE-FRANCE;Ble;HDF;0.92;227;42.1;15.0;69;11.35;29.1;100;364;7.8;4.21;211;6.56;OUI;#N/A;118;#N/A;0.118;#N/A
307-MAIAGU2;307;MAIAGU2;BRETAGNE;Mais;BRE;2.49;193;126.9;Non mesure;120;52.89;Non mesure;141;122;6.2;12.69;425;30.57;OUI;#N/A;168;#N/A;0.168;#N/A
546-MAITPO1;546;MAITPO1;BRETAGNE;Mais;BRE;2.33;214;109.0;Non mesure;227;35.81;Non mesure;373;69;5.7;10.90;117;20.70;OUI;#N/A;124;#N/A;0.124;#N/A
107-MAIJKE1;107;MAIJKE1;BRETAGNE;Mais;BRE;2.78;303;123.9;Non mesure;170;44.32;Non mesure;319;115;5.8;12.39;93;25.62;OUI;#N/A;116;#N/A;0.116;#N/A
199-BLEMLA2;199;BLEMLA2;BRETAGNE;Ble;BRE;1.72;167;115.1;Non mesure;145;23.79;6.2;309;91;7.4;11.51;281;13.75;OUI;#N/A;127;#N/A;0.127;#N/A
075-MAIAGU1;75;MAIAGU1;BRETAGNE;Mais;BRE;1.41;201;100.2;Non mesure;127;26.50;Non mesure;316;60;6.2;10.02;296;15.32;OUI;#N/A;87;#N/A;0.087;#N/A
217-BLEJKE1;217;BLEJKE1;BRETAGNE;Ble;BRE;2.59;279;117.8;17.5;215;43.28;93.0;214;96;8.3;11.78;103;25.02;OUI;#N/A;10;#N/A;0.010;#N/A
