"","id_parcelle","N_tot","limons_grossiers","CEC_a","argiles","limons_fins","sables_fins","pH","CEC_b","sables_grossiers","C_orga","phosphore_mg_kg"
"232","30",1.16,275,85.3,129,233,247,7.2,8.53,114,10.48,82
"233","31",1.33,351,170,257,282,63,7.7,17,43,10.7,77
"234","357",2.24,341,100.5,139,327,116,6.1,10.05,75,23.33,122
"235","216",2.67,211,108,265,331,118,5.8,10.8,73,21.38,74
"236","263",1.42,397,83.7,144,237,131,6.8,8.37,90,12.17,118
"237","289",1.45,242,142.8,323,239,32,8.2,14.28,6,11.17,45
"238","201",1.93,368,86.1,158,213,149,6.4,8.61,112,19.17,158
"239","377",1.83,453,92.9,161,266,74,6.3,9.29,44,14.66,222
"240","264",2.08,154,98.6,203,350,147,6.9,9.86,145,16.71,85
"241","130",1.83,384,93.8,155,359,51,5.8,9.38,49,17.18,121
"242","376",1.65,147,166.7,341,247,40,8.1,16.67,212,13.05,49
"243","372",1.5,324,100.9,166,409,44,8,10.09,48,12.9,29
"244","71",1.1,495,73.4,109,185,158,6.3,7.34,53,9.45,106
"245","72",1.24,338,71.2,59,118,190,7.7,7.12,291,11.54,175
"246","25",2,287,99.6,153,247,186,6.4,9.96,126,21.15,107
"247","185",1.42,204,74.9,106,187,152,6.8,7.49,349,15.76,92
"248","441",1.63,441,88.4,142,233,110,6.6,8.84,74,14.38,132
