"","id_parc_an","id_parcelle","annee","forbs_100","graminoid_100","annual_100","perennial_100","indigenous_100","neophytes_100","rich_sp","shannon","invsimp","simpson","nat_val_100","agrotolerant_100","messicole_100","not_messicole_100","seed_prone_100","other_seeds_100","weeds_100","not_weeds_100"
"700","AQ011_2013",368,2013,58.0645161290323,41.9354838709677,11.2903225806452,88.7096774193548,100,0,15,0.595140630791832,1.42506257669122,0.298276429150325,88.7096774193548,11.2903225806452,0,100,41.9354838709677,58.0645161290323,16.1290322580645,83.8709677419355
"701","AQ011_2014",368,2014,78.3783783783784,21.6216216216216,37.8378378378378,62.1621621621622,100,0,14,0.625327897921613,1.43886797673742,0.305009204341691,67.5675675675676,32.4324324324324,0,100,21.6216216216216,78.3783783783784,12.1621621621622,87.8378378378378
"702","AQ011_2015",368,2015,53.7037037037037,46.2962962962963,40.7407407407407,59.2592592592593,100,0,13,0.576580598491132,1.41538991347702,0.293480905524174,46.2962962962963,53.7037037037037,0,100,46.2962962962963,53.7037037037037,38.8888888888889,61.1111111111111
"703","AQ012_2013",302,2013,52.5,47.5,41.25,58.75,95,5,24,0.617677921800709,1.38425174351973,0.277588050958634,67.5,32.5,0,100,47.5,52.5,26.25,73.75
"704","AQ012_2015",302,2015,83.7837837837838,16.2162162162162,37.8378378378378,62.1621621621622,81.0810810810811,18.9189189189189,15,0.499438943797737,1.33475191313166,0.250797103070823,40.5405405405405,59.4594594594595,0,100,21.6216216216216,78.3783783783784,16.2162162162162,83.7837837837838
"705","AQ012_2016",302,2016,82.2784810126582,17.7215189873418,22.7848101265823,77.2151898734177,94.9367088607595,5.06329113924051,22,0.607473799609516,1.38249496928636,0.27667006230323,62.0253164556962,37.9746835443038,0,100,18.9873417721519,81.0126582278481,5.06329113924051,94.9367088607595
"706","AQ012_2017",302,2017,75.531914893617,24.468085106383,34.0425531914894,65.9574468085106,92.5531914893617,7.4468085106383,26,0.649143790635323,1.39963077588745,0.285525856370272,54.2553191489362,45.7446808510638,0,100,25.531914893617,74.468085106383,7.4468085106383,92.5531914893617
"707","AQ012_2018",302,2018,78.1609195402299,21.8390804597701,22.9885057471264,77.0114942528736,100,0,21,0.624025635922839,1.39131711728717,0.281256596663001,77.0114942528736,22.9885057471264,0,100,22.9885057471264,77.0114942528736,8.04597701149425,91.9540229885057
"708","AQ013_2014",493,2014,64.3939393939394,35.6060606060606,43.1818181818182,56.8181818181818,95.4545454545455,4.54545454545455,20,0.80878366467312,1.61946604265994,0.382512523475009,44.6969696969697,55.3030303030303,0,100,38.6363636363636,61.3636363636364,28.7878787878788,71.2121212121212
"709","AQ013_2015",493,2015,54.6218487394958,45.3781512605042,57.9831932773109,42.0168067226891,100,0,16,0.776101670428172,1.60329960837101,0.376286256929844,49.5798319327731,50.4201680672269,0,100,52.1008403361345,47.8991596638655,42.8571428571429,57.1428571428571
"710","AQ014_2014",436,2014,61.7977528089888,38.2022471910112,46.0674157303371,53.9325842696629,93.2584269662921,6.74157303370786,16,0.693532416217512,1.51792030173233,0.341203883459001,57.3033707865169,42.6966292134831,0,100,43.8202247191011,56.1797752808989,37.0786516853933,62.9213483146067
"711","AQ014_2015",436,2015,57.6470588235294,42.3529411764706,43.5294117647059,56.4705882352941,100,0,14,0.679304968899663,1.51288302572089,0.339010364318483,64.7058823529412,35.2941176470588,0,100,42.3529411764706,57.6470588235294,43.5294117647059,56.4705882352941
"712","AQ014_2016",436,2016,22.8571428571429,77.1428571428572,37.1428571428571,62.8571428571429,100,0,8,0.559191990246398,1.45376142558273,0.312129223954915,94.2857142857143,5.71428571428571,0,100,77.1428571428572,22.8571428571429,65.7142857142857,34.2857142857143
"713","AQ014_2017",436,2017,38.4615384615385,61.5384615384615,58.974358974359,41.025641025641,100,0,8,0.567390234915632,1.4582119734641,0.314228645630705,82.051282051282,17.9487179487179,0,100,61.5384615384615,38.4615384615385,76.9230769230769,23.0769230769231
"714","AQ014_2018",436,2018,41.5094339622642,58.4905660377358,52.8301886792453,47.1698113207547,100,0,12,0.606647601104897,1.47440663513002,0.321761055482622,73.5849056603774,26.4150943396226,3.77358490566038,96.2264150943396,58.4905660377358,41.5094339622642,64.1509433962264,35.8490566037736
