"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Melica ciliata","Melica ciliata","Melica ciliata L., 1753",107851,107851,"Angiospermes","Poales","Poaceae","Pooideae","Meliceae","Melica ciliata"
"Melica ciliata","Melica ciliata","Melica ciliata subsp. transsilvanica (Schur) Husn., 1898",621087,137726,"Angiospermes","Poales","Poaceae","Pooideae","Meliceae","Melica ciliata"
"Trigonella alba","Trigonella alba","Melilotus albus Medik., 1787",788841,107886,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Melilotus albus"
"Trigonella officinalis","Trigonella officinalis","Melilotus officinalis (L.) Lam., 1779",788839,107942,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Melilotus officinalis"
"Melissa officinalis","Melissa officinalis","Melissa officinalis L., 1753",107992,107992,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Melissa officinalis"
"Melittis melissophyllum","Melittis melissophyllum","Melittis melissophyllum L., 1753",108003,108003,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Melittis melissophyllum"
"Mentha arvensis","Mentha arvensis","Mentha arvensis L., 1753",108029,108029,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Mentha arvensis"
"Mentha suaveolens","Mentha suaveolens","Mentha suaveolens Ehrh., 1792",108168,108168,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Mentha suaveolens"
"Mentha aquatica","Mentha aquatica","Mentha aquatica L., 1753",108027,108027,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Mentha aquatica"
"Mentha pulegium","Mentha pulegium","Mentha pulegium L., 1753",108138,108138,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Mentha pulegium"
"Mentha x villosa","Mentha x villosa","Mentha x villosa Huds., 1778",108332,108332,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Mentha x villosa"
"Mercurialis annua","Mercurialis annua","Mercurialis annua L., 1753",108351,108351,"Angiospermes","Malpighiales","Euphorbiaceae","Acalyphoideae","Acalypheae","Mercurialis annua"
"Minuartia hybrida","Minuartia hybrida","Sabulina tenuifolia (L.) Rchb., 1832",108597,119753,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Sabulina tenuifolia"
"Minuartia hybrida","Minuartia hybrida","Sabulina tenuifolia subsp. hybrida (Vill.) Dillenb., 2016",1001992,1001991,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Sabulina tenuifolia"
"Misopates orontium","Misopates orontium","Misopates orontium (L.) Raf., 1840",108645,108645,"Angiospermes","Lamiales","Plantaginaceae","","Antirrhineae","Misopates orontium"
"Muscari neglectum","Muscari neglectum","Muscari neglectum Guss. ex Ten., 1842",108898,108898,"Angiospermes","Asparagales","Asparagaceae","Scilloideae","Hyacintheae","Muscari neglectum"
"Muscari comosum","Muscari comosum","Muscari comosum (L.) Mill., 1768",108874,108874,"Angiospermes","Asparagales","Asparagaceae","Scilloideae","Hyacintheae","Muscari comosum"
"Myosotis arvensis","Myosotis arvensis","Myosotis arvensis (L.) Hill, 1764",108996,108996,"Angiospermes","Boraginales","Boraginaceae","","","Myosotis arvensis"
"Myosotis arvensis","Myosotis arvensis","Myosotis arvensis (L.) Hill, 1764",108998,108996,"Angiospermes","Boraginales","Boraginaceae","","","Myosotis arvensis"
"Myosotis arvensis","Myosotis arvensis","Myosotis stricta Link ex Roem. & Schult., 1819",108997,109102,"Angiospermes","Boraginales","Boraginaceae","","","Myosotis stricta"
"Myosotis ramosissima","Myosotis ramosissima","Myosotis ramosissima Rochel, 1814",109084,109084,"Angiospermes","Boraginales","Boraginaceae","","","Myosotis ramosissima"
"Myosotis stricta","Myosotis stricta","Myosotis stricta Link ex Roem. & Schult., 1819",109102,109102,"Angiospermes","Boraginales","Boraginaceae","","","Myosotis stricta"
"Nasturtium officinale","Nasturtium officinale","Nasturtium officinale W.T.Aiton, 1812",109422,109422,"Angiospermes","Brassicales","Brassicaceae","","","Nasturtium officinale"
"Nigella damascena","Nigella damascena","Nigella damascena L., 1753",109625,109625,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Nigelleae","Nigella damascena"
"Oenanthe fistulosa","Oenanthe fistulosa","Oenanthe fistulosa L., 1753",109869,109869,"Angiospermes","Apiales","Apiaceae","Apioideae","Oenantheae","Oenanthe fistulosa"
"Oenanthe fistulosa","Oenanthe fistulosa","Oenanthe silaifolia M.Bieb., 1819",109868,109898,"Angiospermes","Apiales","Apiaceae","Apioideae","Oenantheae","Oenanthe silaifolia"
"Oenanthe pimpinelloides","Oenanthe pimpinelloides","Oenanthe lachenalii C.C.Gmel., 1805",109894,109881,"Angiospermes","Apiales","Apiaceae","Apioideae","Oenantheae","Oenanthe lachenalii"
"Oenanthe pimpinelloides","Oenanthe pimpinelloides","Oenanthe pimpinelloides L., 1753",109893,109893,"Angiospermes","Apiales","Apiaceae","Apioideae","Oenantheae","Oenanthe pimpinelloides"
"Ononis spinosa","Ononis spinosa","Ononis spinosa L., 1753 [nom. et typ. cons.]",110236,110236,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Ononis spinosa"
"Ophrys apifera","Ophrys apifera","Ophrys apifera Huds., 1762",110335,110335,"Angiospermes","Asparagales","Orchidaceae","Orchidoideae","Orchideae","Ophrys apifera"
"Origanum majorana","Origanum majorana","Origanum majorana L., 1753",111272,111272,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Origanum majorana"
"Origanum vulgare","Origanum vulgare","Origanum vulgare L., 1753",111289,111289,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Origanum vulgare"
